respondent_id,age,gender,profession,education_level,years_of_experience,hospital_type,hospital_location,ai_awareness_q1,ai_awareness_q2,ai_awareness_q3,ai_awareness_q4,ai_awareness_score,privacy_q1,privacy_q2,privacy_q3,privacy_q4,privacy_score,human_factor_q1,human_factor_q2,human_factor_q3,human_factor_q4,human_factor_score,infrastructure_q1,infrastructure_q2,infrastructure_q3,infrastructure_q4,infrastructure_q5,infrastructure_score,adoption_q1,adoption_q2,adoption_q3,adoption_q4,adoption_readiness_score,adoption_readiness_category
578,47,Female,Healthcare Student,Bachelor's (ongoing),0,Public,Dhaka,4.0,3.0,,4.0,3.6666666666666665,5.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.25,4.0,3.0,3.0,4.0,5.0,3.8,4.0,3.0,3.0,2.0,3.0,Medium
579,34,Female,Doctor,Postgraduate/Doctoral,6,Private,Semi-Urban,,3.0,4.0,2.0,3.0,2.0,2.0,,3.0,2.3333333333333335,4.0,3.0,4.0,4.0,3.75,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,Medium
580,29,Male,Other,Secondary/HSC,5,Private,Dhaka,2.0,3.0,3.0,3.0,2.75,2.0,2.0,1.0,2.0,1.75,4.0,4.0,4.0,,4.0,1.0,2.0,2.0,1.0,1.0,1.4,1.0,1.0,2.0,2.0,1.5,Low
581,33,Male,Doctor,Postgraduate/Doctoral,5,Private,Dhaka,5.0,4.0,4.0,5.0,4.5,4.0,3.0,2.0,2.0,2.75,3.0,3.0,1.0,3.0,2.5,3.0,4.0,3.0,3.0,4.0,3.4,5.0,5.0,5.0,5.0,5.0,High
582,52,Male,Healthcare Student,Bachelor's (completed),1,Not Applicable,Dhaka,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,2.2,3.0,2.0,3.0,3.0,2.75,Medium
583,34,Male,Doctor,Postgraduate/Doctoral,9,NGO/Other,Rural,4.0,3.0,4.0,4.0,3.75,4.0,2.0,3.0,4.0,3.25,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,4.0,4.0,3.8,4.0,4.0,4.0,5.0,4.25,High
584,31,Male,Doctor,Postgraduate/Doctoral,2,Not Applicable,Dhaka,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.25,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.6,2.0,3.0,1.0,3.0,2.25,Low
585,37,Female,Doctor,Postgraduate/Doctoral,7,Private,Dhaka,4.0,3.0,4.0,3.0,3.5,,2.0,3.0,2.0,2.3333333333333335,3.0,2.0,3.0,2.0,2.5,2.0,2.0,3.0,2.0,4.0,2.6,1.0,2.0,4.0,3.0,2.5,Low
586,29,Female,Nurse,Bachelor's (completed),7,Public,Semi-Urban,2.0,3.0,3.0,3.0,2.75,5.0,4.0,5.0,,4.666666666666667,3.0,2.0,2.0,2.0,2.25,2.0,3.0,3.0,3.0,2.0,2.6,4.0,2.0,3.0,4.0,3.25,Medium
587,25,Male,Nurse,Bachelor's (completed),2,Public,Chattogram,3.0,3.0,4.0,3.0,3.25,2.0,2.0,2.0,1.0,1.75,2.0,3.0,2.0,2.0,2.25,4.0,3.0,4.0,3.0,3.0,3.4,2.0,4.0,3.0,3.0,3.0,Medium
588,26,Male,Doctor,Postgraduate/Doctoral,0,Private,Dhaka,4.0,3.0,3.0,4.0,3.5,2.0,1.0,1.0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,3.0,2.25,5.0,5.0,5.0,5.0,5.0,High
589,26,Male,Nurse,Bachelor's (completed),1,Private,Dhaka,4.0,5.0,4.0,4.0,4.25,4.0,4.0,5.0,4.0,4.25,2.0,,2.0,3.0,2.3333333333333335,4.0,4.0,5.0,5.0,5.0,4.6,2.0,2.0,3.0,2.0,2.25,Low
590,27,Male,Nurse,Postgraduate/Doctoral,3,Public,Semi-Urban,4.0,3.0,4.0,4.0,3.75,4.0,5.0,4.0,4.0,4.25,,3.0,4.0,3.0,3.3333333333333335,4.0,3.0,3.0,5.0,4.0,3.8,3.0,3.0,4.0,2.0,3.0,Medium
591,26,Female,Healthcare Student,Bachelor's (ongoing),0,Private,Other Urban,3.0,3.0,2.0,2.0,2.5,3.0,2.0,3.0,3.0,2.75,,3.0,4.0,3.0,3.3333333333333335,3.0,4.0,4.0,4.0,4.0,3.8,2.0,3.0,3.0,2.0,2.5,Low
592,37,Male,Healthcare Student,Bachelor's (ongoing),0,Public,Semi-Urban,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,3.5,4.0,5.0,3.0,3.0,3.75,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,Low
593,28,Male,IT Staff,Bachelor's (completed),4,Public,Dhaka,3.0,2.0,3.0,3.0,2.75,3.0,4.0,4.0,3.0,3.5,3.0,4.0,4.0,3.0,3.5,3.0,2.0,3.0,2.0,2.0,2.4,4.0,3.0,4.0,4.0,3.75,Medium
594,31,Female,Doctor,Bachelor's (completed),9,Private,Chattogram,2.0,2.0,1.0,2.0,1.75,4.0,3.0,,3.0,3.3333333333333335,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.5,Medium
595,45,Male,Nurse,Bachelor's (ongoing),15,Public,Semi-Urban,2.0,3.0,3.0,3.0,2.75,3.0,2.0,3.0,3.0,2.75,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.8,2.0,2.0,2.0,2.0,2.0,Low
596,34,Male,Other,Postgraduate/Doctoral,11,Private,Dhaka,4.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.5,5.0,4.0,5.0,5.0,4.0,4.6,5.0,5.0,5.0,5.0,5.0,High
597,38,Female,Doctor,Postgraduate/Doctoral,17,Private,Dhaka,3.0,4.0,4.0,4.0,3.75,3.0,2.0,2.0,3.0,2.5,3.0,2.0,3.0,3.0,2.75,3.0,4.0,5.0,3.0,3.0,3.6,3.0,3.0,5.0,5.0,4.0,High
598,27,Female,Nurse,Bachelor's (ongoing),1,Private,Chattogram,3.0,2.0,3.0,3.0,2.75,5.0,4.0,4.0,4.0,4.25,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.6,4.0,4.0,3.0,4.0,3.75,Medium
599,28,Other/Prefer not to say,Other,Bachelor's (ongoing),1,Public,Dhaka,3.0,3.0,3.0,,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.4,3.0,4.0,4.0,3.0,3.5,Medium
600,24,Female,Other,Bachelor's (ongoing),0,Private,Dhaka,3.0,3.0,2.0,2.0,2.5,2.0,,,3.0,2.5,3.0,4.0,3.0,,3.3333333333333335,2.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.5,Low
601,27,Male,Nurse,Bachelor's (completed),3,Public,Rural,5.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.25,2.0,3.0,4.0,2.0,2.75,3.0,4.0,3.0,4.0,3.0,3.4,4.0,4.0,5.0,4.0,4.25,High
602,30,Female,IT Staff,Postgraduate/Doctoral,4,Private,Chattogram,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.25,2.0,1.0,1.0,3.0,1.75,4.0,3.0,4.0,4.0,4.0,3.8,5.0,5.0,5.0,4.0,4.75,High
603,27,Female,Nurse,Postgraduate/Doctoral,4,Public,Other Urban,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.25,3.0,2.0,3.0,3.0,2.75,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.25,High
604,25,Female,Healthcare Student,Bachelor's (completed),1,Not Applicable,Dhaka,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.5,4.0,5.0,5.0,5.0,,4.75,4.0,5.0,3.0,3.0,3.75,Medium
605,26,Female,Doctor,Postgraduate/Doctoral,1,Private,Other Urban,5.0,3.0,5.0,4.0,4.25,1.0,1.0,2.0,1.0,1.25,3.0,2.0,3.0,2.0,2.5,5.0,3.0,4.0,5.0,4.0,4.2,5.0,5.0,5.0,5.0,5.0,High
606,33,Female,Doctor,Bachelor's (completed),7,Public,Other Urban,2.0,2.0,3.0,4.0,2.75,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,Medium
607,28,Female,Hospital Administrator,Postgraduate/Doctoral,0,Public,Rural,,4.0,5.0,4.0,4.333333333333333,5.0,5.0,4.0,4.0,4.5,3.0,,4.0,3.0,3.3333333333333335,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,Low
608,32,Male,Nurse,Bachelor's (ongoing),5,Public,Chattogram,3.0,,4.0,3.0,3.3333333333333335,2.0,3.0,3.0,2.0,2.5,2.0,2.0,3.0,3.0,2.5,3.0,2.0,1.0,1.0,1.0,1.6,3.0,3.0,2.0,4.0,3.0,Medium
609,34,Female,IT Staff,Bachelor's (ongoing),5,Private,Semi-Urban,3.0,4.0,4.0,5.0,4.0,2.0,,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.8,3.0,3.0,2.0,3.0,2.75,Medium
610,38,Male,Nurse,Postgraduate/Doctoral,13,Private,Dhaka,3.0,3.0,4.0,3.0,3.25,4.0,5.0,,4.0,4.333333333333333,2.0,1.0,1.0,2.0,1.5,2.0,2.0,3.0,2.0,3.0,2.4,5.0,4.0,3.0,5.0,4.25,High
611,24,Female,Healthcare Student,Bachelor's (completed),1,Not Applicable,Other Urban,3.0,3.0,,3.0,3.0,3.0,2.0,2.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,2.75,Medium
612,41,Female,Healthcare Student,Bachelor's (ongoing),1,Not Applicable,Not Applicable,1.0,1.0,3.0,1.0,1.5,4.0,3.0,3.0,3.0,3.25,4.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.4,5.0,4.0,4.0,3.0,4.0,High
613,37,Female,Nurse,Bachelor's (completed),16,Private,Other Urban,2.0,3.0,2.0,2.0,2.25,3.0,3.0,3.0,4.0,3.25,1.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.6,3.0,2.0,2.0,2.0,2.25,Low
614,25,Other/Prefer not to say,Healthcare Student,Bachelor's (ongoing),0,NGO/Other,Semi-Urban,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.5,4.0,4.0,3.0,4.0,3.75,3.0,3.0,3.0,4.0,4.0,3.4,5.0,3.0,2.0,3.0,3.25,Medium
615,44,Male,Nurse,Bachelor's (ongoing),12,Public,Rural,2.0,2.0,2.0,1.0,1.75,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.75,Low
616,46,Female,Nurse,Bachelor's (ongoing),20,Private,Rural,5.0,4.0,3.0,3.0,3.75,5.0,4.0,4.0,4.0,4.25,2.0,3.0,2.0,3.0,2.5,2.0,3.0,3.0,3.0,2.0,2.6,3.0,2.0,2.0,2.0,2.25,Low
617,24,Female,Doctor,Bachelor's (completed),4,Private,Dhaka,3.0,4.0,,3.0,3.3333333333333335,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.5,Medium
618,30,Male,Healthcare Student,Bachelor's (ongoing),0,Not Applicable,Dhaka,2.0,1.0,2.0,1.0,1.5,3.0,3.0,3.0,2.0,2.75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,2.75,Medium
619,41,Male,Healthcare Student,Bachelor's (ongoing),1,Public,Other Urban,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,4.5,3.0,,4.0,3.0,3.3333333333333335,2.0,2.0,2.0,3.0,2.0,2.2,2.0,1.0,1.0,1.0,1.25,Low
620,40,Male,Other,Bachelor's (ongoing),17,Public,Not Applicable,3.0,2.0,2.0,2.0,2.25,2.0,1.0,2.0,2.0,1.75,4.0,5.0,4.0,4.0,4.25,3.0,2.0,4.0,3.0,2.0,2.8,2.0,2.0,3.0,2.0,2.25,Low
621,28,Female,Healthcare Student,Bachelor's (ongoing),1,Public,Chattogram,3.0,2.0,2.0,4.0,2.75,2.0,2.0,3.0,2.0,2.25,5.0,5.0,4.0,4.0,4.5,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.5,Medium
622,28,Male,Other,Postgraduate/Doctoral,1,NGO/Other,Dhaka,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.25,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.25,High
623,32,Other/Prefer not to say,Nurse,Bachelor's (completed),7,Private,Other Urban,4.0,3.0,4.0,4.0,3.75,3.0,,3.0,2.0,2.6666666666666665,3.0,3.0,4.0,4.0,3.5,3.0,2.0,2.0,3.0,3.0,2.6,3.0,3.0,3.0,3.0,3.0,Medium
624,34,Male,Other,Bachelor's (completed),12,Public,Dhaka,1.0,1.0,3.0,2.0,1.75,2.0,2.0,2.0,3.0,2.25,4.0,3.0,3.0,4.0,3.5,4.0,4.0,5.0,5.0,5.0,4.6,4.0,4.0,3.0,5.0,4.0,High
625,37,Female,Hospital Administrator,Bachelor's (ongoing),9,Public,Dhaka,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,4.5,3.0,2.0,3.0,3.0,2.75,4.0,4.0,5.0,4.0,4.0,4.2,2.0,1.0,1.0,2.0,1.5,Low
626,32,Male,Nurse,Bachelor's (completed),8,Private,Dhaka,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.25,2.0,1.0,1.0,3.0,1.75,3.0,3.0,4.0,5.0,,3.75,3.0,3.0,5.0,2.0,3.25,Medium
627,33,Female,Hospital Administrator,Postgraduate/Doctoral,12,NGO/Other,Dhaka,5.0,5.0,3.0,5.0,4.5,1.0,,1.0,2.0,1.3333333333333333,2.0,2.0,3.0,2.0,2.25,4.0,4.0,5.0,5.0,5.0,4.6,4.0,4.0,5.0,5.0,4.5,High
628,40,Male,Nurse,Bachelor's (ongoing),19,Not Applicable,Semi-Urban,3.0,2.0,1.0,3.0,2.25,2.0,2.0,3.0,3.0,2.5,5.0,5.0,5.0,4.0,4.75,5.0,4.0,4.0,4.0,4.0,4.2,2.0,2.0,2.0,2.0,2.0,Low
629,23,Female,Nurse,Bachelor's (ongoing),0,Private,Dhaka,3.0,4.0,4.0,4.0,3.75,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.5,5.0,5.0,5.0,3.0,5.0,4.6,4.0,4.0,4.0,4.0,4.0,High
630,29,Female,Nurse,Bachelor's (ongoing),5,Private,Dhaka,4.0,3.0,2.0,4.0,3.25,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.75,4.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,2.5,Low
631,39,Female,Doctor,Bachelor's (completed),18,Public,Chattogram,5.0,4.0,3.0,5.0,4.25,3.0,4.0,4.0,,3.6666666666666665,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.2,2.0,2.0,3.0,2.0,2.25,Low
632,45,Female,Nurse,Bachelor's (completed),15,Public,Dhaka,4.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,3.5,3.0,2.0,2.0,4.0,2.75,1.0,2.0,1.0,2.0,2.0,1.6,3.0,3.0,2.0,3.0,2.75,Medium
633,34,Male,Healthcare Student,Bachelor's (ongoing),1,Private,Chattogram,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.5,3.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.5,High
634,35,Male,IT Staff,Bachelor's (completed),17,Private,Dhaka,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.25,5.0,4.0,4.0,3.0,4.0,5.0,,5.0,4.0,4.0,4.5,4.0,4.0,4.0,3.0,3.75,Medium
635,26,Male,Hospital Administrator,Bachelor's (completed),3,Public,Dhaka,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.25,2.0,2.0,2.0,,2.0,3.0,4.0,4.0,3.0,4.0,3.6,3.0,3.0,2.0,4.0,3.0,Medium
636,33,Male,Nurse,Bachelor's (ongoing),6,Private,Semi-Urban,4.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,1.0,1.75,4.0,5.0,4.0,5.0,4.5,2.0,2.0,,,1.0,1.6666666666666667,4.0,5.0,2.0,4.0,3.75,Medium
637,35,Female,Nurse,Bachelor's (ongoing),6,Public,Dhaka,4.0,3.0,3.0,4.0,3.5,2.0,,3.0,2.0,2.3333333333333335,4.0,4.0,4.0,3.0,3.75,2.0,3.0,4.0,3.0,4.0,3.2,2.0,2.0,2.0,1.0,1.75,Low
638,29,Female,Doctor,Postgraduate/Doctoral,0,Public,Dhaka,4.0,5.0,5.0,4.0,4.5,5.0,,3.0,4.0,4.0,,2.0,2.0,3.0,2.3333333333333335,4.0,3.0,5.0,5.0,4.0,4.2,4.0,3.0,3.0,4.0,3.5,Medium
639,30,Female,Healthcare Student,Bachelor's (ongoing),1,Public,Dhaka,2.0,3.0,2.0,1.0,2.0,4.0,4.0,,4.0,4.0,3.0,4.0,3.0,4.0,3.5,2.0,3.0,1.0,3.0,3.0,2.4,2.0,2.0,3.0,2.0,2.25,Low
640,32,Female,Doctor,Bachelor's (completed),4,Private,Dhaka,5.0,4.0,4.0,,4.333333333333333,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.5,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.25,High
641,23,Female,IT Staff,Bachelor's (completed),0,Private,Dhaka,3.0,5.0,2.0,3.0,3.25,3.0,2.0,2.0,2.0,2.25,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.8,3.0,3.0,5.0,4.0,3.75,Medium
642,31,Female,Healthcare Student,Secondary/HSC,1,Private,Dhaka,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,3.75,3.0,4.0,4.0,2.0,3.25,3.0,5.0,4.0,5.0,5.0,4.4,1.0,1.0,2.0,2.0,1.5,Low
643,28,Male,Hospital Administrator,Bachelor's (completed),3,Private,Dhaka,4.0,3.0,4.0,3.0,3.5,3.0,,3.0,3.0,3.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.6,4.0,3.0,3.0,4.0,3.5,Medium
644,31,Male,Healthcare Student,Secondary/HSC,0,Not Applicable,Dhaka,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.25,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.6,1.0,1.0,1.0,1.0,1.0,Low
645,26,Female,Nurse,Bachelor's (ongoing),4,Public,Rural,,2.0,1.0,2.0,1.6666666666666667,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.75,2.0,3.0,3.0,3.0,3.0,2.8,4.0,4.0,3.0,4.0,3.75,Medium
646,45,Female,Healthcare Student,Postgraduate/Doctoral,1,Not Applicable,Chattogram,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,2.75,1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.8,5.0,4.0,4.0,4.0,4.25,High
647,36,Male,Healthcare Student,Bachelor's (completed),1,Public,Dhaka,2.0,3.0,2.0,2.0,2.25,1.0,1.0,3.0,1.0,1.5,2.0,1.0,1.0,2.0,1.5,4.0,3.0,4.0,4.0,4.0,3.8,5.0,5.0,5.0,4.0,4.75,High
648,38,Male,Healthcare Student,Bachelor's (ongoing),0,Private,Other Urban,1.0,1.0,1.0,2.0,1.25,3.0,2.0,3.0,2.0,2.5,4.0,3.0,,4.0,3.6666666666666665,3.0,3.0,4.0,3.0,4.0,3.4,2.0,2.0,3.0,2.0,2.25,Low
649,41,Female,IT Staff,Bachelor's (completed),15,Public,Dhaka,3.0,5.0,4.0,4.0,4.0,,4.0,3.0,3.0,3.3333333333333335,2.0,3.0,3.0,3.0,2.75,5.0,5.0,4.0,5.0,5.0,4.8,3.0,2.0,2.0,3.0,2.5,Low
650,34,Male,Healthcare Student,Bachelor's (ongoing),1,Private,Semi-Urban,2.0,2.0,1.0,2.0,1.75,4.0,3.0,3.0,3.0,3.25,3.0,4.0,,4.0,3.6666666666666665,1.0,2.0,1.0,1.0,2.0,1.4,1.0,1.0,1.0,1.0,1.0,Low
651,25,Male,Other,Bachelor's (completed),1,Private,Dhaka,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.5,3.0,4.0,4.0,3.0,4.0,3.6,5.0,5.0,5.0,5.0,5.0,High
652,35,Female,Nurse,Bachelor's (completed),7,Public,Chattogram,2.0,2.0,2.0,3.0,2.25,2.0,1.0,2.0,2.0,1.75,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,3.0,3.0,3.25,4.0,3.0,4.0,4.0,3.75,Medium
653,36,Female,Healthcare Student,Bachelor's (ongoing),1,Private,Rural,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.5,3.0,,2.0,3.0,2.6666666666666665,3.0,2.0,4.0,3.0,4.0,3.2,2.0,2.0,3.0,2.0,2.25,Low
654,40,Male,Healthcare Student,Bachelor's (ongoing),0,NGO/Other,Dhaka,2.0,2.0,1.0,1.0,1.5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.25,3.0,1.0,1.0,1.0,2.0,1.6,1.0,1.0,1.0,1.0,1.0,Low
655,33,Female,Nurse,Bachelor's (completed),12,Private,Dhaka,5.0,5.0,5.0,,5.0,1.0,2.0,3.0,3.0,2.25,4.0,3.0,4.0,4.0,3.75,3.0,,4.0,3.0,3.0,3.25,4.0,3.0,2.0,2.0,2.75,Medium
656,26,Male,Other,Bachelor's (completed),4,Public,Other Urban,5.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,1.75,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.6,5.0,4.0,5.0,5.0,4.75,High
657,30,Female,Nurse,Postgraduate/Doctoral,6,Public,Not Applicable,3.0,4.0,4.0,4.0,3.75,3.0,2.0,3.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,4.6,5.0,5.0,5.0,5.0,5.0,High
658,31,Male,Hospital Administrator,Bachelor's (ongoing),7,Public,Chattogram,3.0,4.0,3.0,3.0,3.25,4.0,5.0,4.0,,4.333333333333333,3.0,5.0,5.0,5.0,4.5,4.0,4.0,3.0,3.0,3.0,3.4,2.0,3.0,3.0,2.0,2.5,Low
659,37,Female,Doctor,Postgraduate/Doctoral,6,Private,Other Urban,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.25,3.0,1.0,,3.0,3.0,2.5,4.0,3.0,3.0,3.0,3.25,Medium
660,36,Male,Nurse,Bachelor's (ongoing),6,NGO/Other,Dhaka,,3.0,2.0,3.0,2.6666666666666665,1.0,2.0,2.0,2.0,1.75,3.0,4.0,4.0,4.0,3.75,2.0,2.0,1.0,1.0,1.0,1.4,3.0,3.0,2.0,3.0,2.75,Medium
661,31,Male,Healthcare Student,Bachelor's (completed),0,Public,Other Urban,3.0,3.0,2.0,3.0,2.75,,4.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,4.25,4.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,1.75,Low
662,53,Female,Nurse,Postgraduate/Doctoral,15,Private,Dhaka,5.0,5.0,4.0,4.0,4.5,4.0,2.0,3.0,4.0,3.25,3.0,4.0,3.0,4.0,3.5,4.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,High
663,36,Male,Nurse,Bachelor's (completed),10,Private,Other Urban,3.0,3.0,3.0,2.0,2.75,3.0,3.0,2.0,3.0,2.75,2.0,2.0,3.0,2.0,2.25,4.0,3.0,2.0,4.0,3.0,3.2,4.0,5.0,4.0,4.0,4.25,High
664,29,Male,Nurse,Bachelor's (ongoing),2,Not Applicable,Dhaka,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.25,,2.0,2.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.25,Medium
665,25,Male,Nurse,Bachelor's (completed),0,Public,Other Urban,3.0,3.0,2.0,3.0,2.75,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,,2.3333333333333335,3.0,3.0,3.0,3.0,4.0,3.2,5.0,5.0,3.0,3.0,4.0,High
666,27,Female,Healthcare Student,Bachelor's (ongoing),0,Private,Dhaka,4.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.5,3.0,4.0,4.0,3.0,3.5,4.0,5.0,4.0,5.0,4.0,4.4,2.0,4.0,3.0,3.0,3.0,Medium
667,29,Female,Healthcare Student,Bachelor's (completed),1,Private,Semi-Urban,2.0,3.0,2.0,2.0,2.25,4.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,4.25,4.0,4.0,4.0,4.0,5.0,4.2,2.0,3.0,2.0,1.0,2.0,Low
668,27,Other/Prefer not to say,Doctor,Bachelor's (completed),11,Public,Semi-Urban,,4.0,2.0,2.0,2.6666666666666665,2.0,3.0,2.0,4.0,2.75,2.0,3.0,3.0,2.0,2.5,2.0,1.0,2.0,1.0,1.0,1.4,2.0,3.0,4.0,4.0,3.25,Medium
669,28,Male,Hospital Administrator,Postgraduate/Doctoral,5,Public,Rural,5.0,5.0,5.0,4.0,4.75,3.0,4.0,3.0,3.0,3.25,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.8,3.0,4.0,3.0,4.0,3.5,Medium
670,30,Male,Nurse,Bachelor's (ongoing),9,Public,Not Applicable,2.0,2.0,2.0,3.0,2.25,4.0,3.0,3.0,3.0,3.25,3.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,4.6,3.0,2.0,3.0,2.0,2.5,Low
671,27,Male,Hospital Administrator,Bachelor's (ongoing),2,Private,Chattogram,2.0,3.0,3.0,,2.6666666666666665,3.0,4.0,2.0,3.0,3.0,3.0,2.0,,3.0,2.6666666666666665,4.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,2.25,Low
672,45,Female,Nurse,Bachelor's (ongoing),12,Private,Other Urban,2.0,2.0,2.0,1.0,1.75,1.0,1.0,2.0,1.0,1.25,3.0,1.0,3.0,4.0,2.75,3.0,1.0,3.0,3.0,3.0,2.6,3.0,3.0,5.0,4.0,3.75,Medium
